## 📋 KẾ HOẠCH TO‑DO CHI TIẾT – “DogeRat Web‑Admin v2.0”  
*Dành cho nhân viên kỹ thuật (cấp 1‑3).  Mỗi mục được đánh dấu ✅ khi hoàn thành, kèm thời gian dự kiến, người chịu trách nhiệm và deliverable cụ thể.  Khi toàn bộ ✔ được đánh dấu, dự án sẽ đạt **100 % hoàn thiện**.*

---

## Ⅰ. PHÁP THUẬT & MỤC TIÊU DỰ ÁN  

| Mục tiêu | Mô tả ngắn gọn |
|----------|----------------|
| **Chuyển giao** | Thay thế giao diện quản trị dựa trên Telegram Bot bằng **Web‑Admin** (SPA) chạy trên trình duyệt. |
| **Bảo mật** | Áp dụng JWT, RBAC, HTTPS, CORS, Rate‑limit, input validation. |
| **Quản trị người dùng** | Tạo, phân quyền, audit log, hỗ trợ “sub‑account” cho nhân viên cấp dưới. |
| **Quản lý thiết bị** | Hiển thị danh sách, trạng thái, chi tiết, và thực thi mọi lệnh hiện có (contacts, sms, toast, …). |
| **Độ tin cậy** | Docker‑Compose, CI/CD, unit & integration test, health‑check, log‑monitoring. |
| **Tài liệu** | README mới, hướng dẫn cài đặt, hướng dẫn vận hành, diagram kiến trúc. |

---

## Ⅱ. THỜI GIAN & ĐỘI NGŨ  

| Giai đoạn | Thời gian dự kiến | Thành viên | Ghi chú |
|----------|-------------------|-----------|--------|
| **A. Khởi động** | 2 ngày | PM + Tech‑Lead | Đặt môi trường, tạo repo, xác định yêu cầu. |
| **B. Thiết kế kiến trúc** | 3 ngày | Architect + DB‑Admin | ER‑diagram, API spec, UI wireframe. |
| **C. Backend refactor** | 8 ngày | 2 Dev (Node) | Tách Telegram, xây dựng API, DB, Auth. |
| **D. Frontend SPA** | 10 ngày | 2 Dev (Vue/React) | Scaffold, login, dashboard, device‑detail. |
| **E. Tích hợp Socket‑IO bridge** | 3 ngày | 1 Dev (Node) + 1 Dev (Frontend) | Lệnh thời gian thực, heartbeat. |
| **F. Kiểm thử & Bảo mật** | 5 ngày | QA + Security | Unit, integration, pen‑test, lint. |
| **G. Docker & CI/CD** | 4 ngày | DevOps | Dockerfile, compose, GitHub Actions. |
| **H. Triển khai & Handover** | 2 ngày | Ops + PM | Deploy prod, doc training. |
| **Tổng** | **≈ 37 ngày** (~ 8 tuần làm việc) | | |

> **Lưu ý:** Các ngày là **điểm chuẩn**; nếu có phụ thuộc (backend → frontend) thì tuần tự thực hiện.  

---

## Ⅲ. ĐIỂM CHỈ – CHECKLIST CHI TIẾT  

> **Cú pháp:** `[ ]` = chưa làm, `[x]` = đã xong, `⏳` = đang thực hiện.  
> **Deliverable**: tập tin/ folder / tài liệu cần nộp cho PM.

### A. Chuẩn bị môi trường (2 ngày)

| # | Nhiệm vụ | Trách nhiệm | Deliverable |
|---|----------|-------------|--------------|
| A1 | Tạo **repo** trên GitHub (private). Branch `feature/web-admin`. | PM | URL repo + README tạm. |
| A2 | Thiết lập **ci/cd** skeleton (GitHub Actions, badge trạng thái). | DevOps | `.github/workflows/ci.yml`. |
| A3 | Chuẩn bị **Docker Desktop** / Docker Engine trên máy dev. | All | `docker version` xác nhận. |
| A4 | Tạo file `.env.example` (DB, JWT, PORT, FRONTEND_URL). | Backend Dev | `.env.example`. |
| A5 | Cài **PostgreSQL** (hoặc MySQL) local, tạo DB `dogerat`. | DB‑Admin | DB ready, user/password. |
| A6 | Pull **server.js** gốc, chạy thử `npm install && node server.js`. | Backend Dev | Console “server listening …”. |

### B. Thiết kế kiến trúc (3 ngày)

| # | Nhiệm vụ | Trách nhiệm | Deliverable |
|---|----------|-------------|--------------|
| B1 | Vẽ **ER‑diagram** (users, devices, device_logs, commands, audit_trail). | Architect | `docs/ER-diagram.png`. |
| B2 | Định nghĩa **API spec** (OpenAPI 3.0) cho auth, devices, commands, audit. | Backend Dev | `docs/api-spec.yaml`. |
